"Year","State","TOTAL.POPULATION","Type","FREE.COLORED.MALES","FREE.COLORED.FEMALES","TOTAL.FREE.COLORED.PERSONS","TOTAL.FREE.COLORED.FEMALES","TOTAL.FREE.COLORED.MALES","TOTAL.FREE.COLORED.POPULATION","WHITE.AND.FREE.COLORED.FAMILIES","AGGR..FREE.COLORED.PERSONS","COLORED.PERSONS","COLORED.MALES","COLORED.FEMALES","TOTAL.COLORED.FEMALES","TOTAL.COLORED.MALES"
1860,"NEW HAMPSHIRE",326073,"State",NA,NA,NA,241,253,NA,NA,494,NA,NA,NA,NA,NA
1860,"NEW JERSEY",672035,"State",NA,NA,NA,13006,12312,NA,NA,25318,NA,NA,NA,NA,NA
1860,"NEW YORK",3880735,"State",NA,NA,NA,25827,23178,NA,NA,49005,NA,NA,NA,NA,NA
1860,"NORTH CAROLINA",992622,"State",NA,NA,NA,15583,14880,NA,NA,30463,NA,NA,NA,NA,NA
1860,"OHIO",2339511,"State",NA,NA,NA,18231,18442,NA,NA,36673,NA,NA,NA,NA,NA
1860,"OREGON",52465,"State",NA,NA,NA,52,76,NA,NA,128,NA,NA,NA,NA,NA
1860,"PENNSYLVANIA",2906215,"State",NA,NA,NA,30476,26473,NA,NA,56949,NA,NA,NA,NA,NA
1860,"RHODE ISLAND",174620,"State",NA,NA,NA,2121,1831,NA,NA,3952,NA,NA,NA,NA,NA
1860,"SOUTH CAROLINA",703708,"State",NA,NA,NA,5366,4548,NA,NA,9914,NA,NA,NA,NA,NA
1860,"TENNESSEE",1109801,"State",NA,NA,NA,3762,3538,NA,NA,7300,NA,NA,NA,NA,NA
1860,"TEXAS",604215,"State",NA,NA,NA,174,181,NA,NA,355,NA,NA,NA,NA,NA
1860,"VERMONT",315098,"State",NA,NA,NA,338,371,NA,NA,709,NA,NA,NA,NA,NA
1860,"VIRGINIA",1596318,"State",NA,NA,NA,30321,27721,NA,NA,58042,NA,NA,NA,NA,NA
1860,"WISCONSIN",775881,"State",NA,NA,NA,518,653,NA,NA,1171,NA,NA,NA,NA,NA
1870,"ALABAMA",996992,"State",NA,NA,NA,NA,NA,NA,NA,NA,475510,NA,NA,NA,NA
1870,"ARKANSAS",484471,"State",NA,NA,NA,NA,NA,NA,NA,NA,122169,NA,NA,NA,NA
1870,"CALIFORNIA",560247,"State",NA,NA,NA,NA,NA,NA,NA,NA,4272,NA,NA,NA,NA
1870,"COLORADO",39864,"Territory",NA,NA,NA,NA,NA,NA,NA,NA,456,NA,NA,NA,NA
1870,"CONNECTICUT",537454,"State",NA,NA,NA,NA,NA,NA,NA,NA,9668,NA,NA,NA,NA
1870,"DELAWARE",125015,"State",NA,NA,NA,NA,NA,NA,NA,NA,22794,NA,NA,NA,NA
1870,"FLORIDA",187748,"State",NA,NA,NA,NA,NA,NA,NA,NA,91689,NA,NA,NA,NA
1870,"GEORGIA",1184109,"State",NA,NA,NA,NA,NA,NA,NA,NA,545142,NA,NA,NA,NA
1870,"ILLINOIS",2539891,"State",NA,NA,NA,NA,NA,NA,NA,NA,28762,NA,NA,NA,NA
1870,"INDIANA",1680637,"State",NA,NA,NA,NA,NA,NA,NA,NA,24560,NA,NA,NA,NA
1870,"IOWA",1194020,"State",NA,NA,NA,NA,NA,NA,NA,NA,5762,NA,NA,NA,NA
1870,"KANSAS",364399,"State",NA,NA,NA,NA,NA,NA,NA,NA,17108,NA,NA,NA,NA
1870,"KENTUCKY",1321011,"State",NA,NA,NA,NA,NA,NA,NA,NA,222210,NA,NA,NA,NA
1870,"LOUISIANA",726915,"State",NA,NA,NA,NA,NA,NA,NA,NA,364210,NA,NA,NA,NA
1870,"MAINE",626915,"State",NA,NA,NA,NA,NA,NA,NA,NA,1606,NA,NA,NA,NA
1870,"MARYLAND",780894,"State",NA,NA,NA,NA,NA,NA,NA,NA,175391,NA,NA,NA,NA
1870,"MASSACHUSETTS",1457351,"State",NA,NA,NA,NA,NA,NA,NA,NA,13947,NA,NA,NA,NA
1870,"MICHIGAN",1184059,"State",NA,NA,NA,NA,NA,NA,NA,NA,11849,NA,NA,NA,NA
1870,"MINNESOTA",439706,"State",NA,NA,NA,NA,NA,NA,NA,NA,759,NA,NA,NA,NA
1870,"MISSISSIPPI",827922,"State",NA,NA,NA,NA,NA,NA,NA,NA,444201,NA,NA,NA,NA
1870,"MISSOURI",1721295,"State",NA,NA,NA,NA,NA,NA,NA,NA,118071,NA,NA,NA,NA
1870,"NEBRASKA",122993,"State",NA,NA,NA,NA,NA,NA,NA,NA,789,NA,NA,NA,NA
1870,"NEVADA",42491,"State",NA,NA,NA,NA,NA,NA,NA,NA,357,NA,NA,NA,NA
